Value_formatted,Număr organizații
Cutremur,20
Conflict armat,16
Inundații,14
Incendiu,13
Furtună,11
Caniculă,11
Tornadă,11
Uragan,11
Alunecări de teren,11
Avalanșă,8
Accident CBRN,7
