Source,Target,Type,Weight,context
ONG::World Vision,ISU::IS,Undirected,1,Aflux refugiați
ONG::World Vision,ISU::VS,Undirected,1,Aflux refugiați
ONG::A.D.R.A. (Biserica Adventistă),ISU::TL,Undirected,1,Aflux refugiați
ONG::A.F.A.D,ISU::SV,Undirected,1,Aflux refugiați
ONG::Acociația ELIEZER,ISU::SM,Undirected,1,Aflux refugiați
ONG::ACTED,ISU::VS,Undirected,1,Aflux refugiați
ONG::ADRA,ISU::BIF,Undirected,1,Aflux refugiați
ONG::AMURTEL,ISU::SV,Undirected,1,Aflux refugiați
ONG::Anim ALL Delta Tulcea,ISU::TL,Undirected,1,Aflux refugiați
ONG::Animal Life,ISU::SB,Undirected,1,Aflux refugiați
ONG::ARHIEPISCOPIA SUCEVEI ȘI RĂDĂUȚILOR,ISU::SV,Undirected,1,Aflux refugiați
ONG::ARMATA SALVĂRII,ISU::SV,Undirected,1,Aflux refugiați
ONG::As.Inimi Deschise spre manute intinse-Biserica Creștină Baptistă Emanuel Carei,ISU::SM,Undirected,1,Aflux refugiați
"ONG::Asociatia ""Sf. Nectarie"" Cluj",ISU::CJ,Undirected,1,Pandemie
ONG::Asociatia Beard Brothers,ISU::CJ,Undirected,1,Aflux refugiați
ONG::Asociatia Casuta Bucuriei,ISU::CJ,Undirected,1,Pandemie
ONG::Asociatia Civic Suport,ISU::CJ,Undirected,1,Aflux refugiați
ONG::Asociatia Daisler,ISU::CJ,Undirected,1,Aflux refugiați
ONG::Asociatia Jugendzentrum Seligstadt,ISU::BV,Undirected,1,Aflux refugiați
ONG::ASOCIATIA KIWANIS CLUB CLUJ,ISU::CJ,Undirected,1,Pandemie
ONG::Asociatia Lions Club Genesis,ISU::CJ,Undirected,1,Aflux refugiați
ONG::Asociatia Medical International Rescue,ISU::CJ,Undirected,1,Pandemie
ONG::Asociatia Medical International Rescue-Medicala Internationala de Salvare,ISU::CJ,Undirected,1,Aflux refugiați
"ONG::Asociatia Misionarilor Padre Pio, Cluj Napoca, str. Eroilor, nr 43",ISU::CJ,Undirected,1,Aflux refugiați
"ONG::Asociatia Mustars Seed Jersey, România",ISU::BH,Undirected,1,Aflux refugiați
ONG::Asociatia Nationala a Interpretilor Autorizati in Limbaj Mimico-Gestual,ISU::CJ,Undirected,1,Pandemie
ONG::Asociatia pentru Caini de Salvare Transilvania,ISU::CJ,Undirected,1,Pandemie
ONG::Asociatia Pentru Integrarea Imigrantilor Si Refugiatilor din MENA (AIR-MENA),ISU::CJ,Undirected,1,Aflux refugiați
ONG::Asociatia SOLIS,ISU::CJ,Undirected,1,Pandemie
ONG::Asociatia Stejarul Pitic,ISU::CJ,Undirected,1,Pandemie
